cluster,lat,lon,size,method
291,34.09888701298702,-118.30597532467533,77,hdbscan
334,34.09861168831169,-118.30959220779219,77,hdbscan
200,34.05519090909091,-118.44274805194803,77,hdbscan
149,34.19508961038961,-118.39352207792213,77,hdbscan
141,34.18878552631579,-118.36849736842105,76,hdbscan
191,34.1876407894737,-118.44156447368421,76,hdbscan
226,34.02449066666667,-118.24162399999999,75,hdbscan
416,33.935641333333336,-118.281156,75,hdbscan
498,34.03917297297297,-118.2446756756757,74,hdbscan
441,33.99041486486486,-118.2915445945946,74,hdbscan
140,34.19048378378379,-118.4831202702703,74,hdbscan
196,34.05088378378378,-118.46232432432431,74,hdbscan
76,33.99266849315068,-118.47650547945206,73,hdbscan
461,34.056838356164384,-118.27612054794518,73,hdbscan
52,34.13275479452055,-118.34491232876714,73,hdbscan
214,33.920883561643834,-118.28432191780823,73,hdbscan
313,33.9293125,-118.26541388888892,72,hdbscan
173,34.234075,-118.45246666666668,72,hdbscan
22,33.942879166666664,-118.40334583333333,72,hdbscan
99,34.194408333333335,-118.56278750000001,72,hdbscan
101,34.20295833333333,-118.55081527777777,72,hdbscan
408,34.0641,-118.3044722222222,72,hdbscan
339,34.09798611111111,-118.32876805555553,72,hdbscan
368,34.05405774647887,-118.26150140845071,71,hdbscan
116,34.190339436619716,-118.60589999999999,71,hdbscan
29,34.254557142857145,-118.60388285714286,70,hdbscan
453,34.058515714285704,-118.29025857142855,70,hdbscan
19,33.94652142857144,-118.39166714285714,70,hdbscan
110,34.08736285714285,-118.22021428571428,70,hdbscan
505,34.049394285714286,-118.24946714285714,70,hdbscan
464,34.05676956521739,-118.28629275362319,69,hdbscan
35,34.07180579710145,-118.17330000000001,69,hdbscan
403,33.983024637681154,-118.2739086956522,69,hdbscan
315,33.99636811594203,-118.26997826086955,69,hdbscan
218,34.04966666666667,-118.20847826086957,69,hdbscan
166,34.23591739130434,-118.46756666666666,69,hdbscan
199,34.06206811594204,-118.44532898550725,69,hdbscan
480,34.04159852941176,-118.26312205882355,68,hdbscan
501,34.04055441176472,-118.24247794117646,68,hdbscan
417,33.94440000000001,-118.27811029411765,68,hdbscan
362,34.007954411764715,-118.27232647058823,68,hdbscan
397,34.00014264705882,-118.27814264705883,68,hdbscan
20,33.94551323529412,-118.37686470588235,68,hdbscan
299,34.04673529411765,-118.32331911764706,68,hdbscan
176,34.22058970588236,-118.45451764705881,68,hdbscan
49,34.228276119402985,-118.54932985074629,67,hdbscan
241,34.08462835820895,-118.37310895522387,67,hdbscan
270,34.01379393939394,-118.31312424242425,66,hdbscan
284,33.924889393939395,-118.27260151515152,66,hdbscan
229,34.068868181818175,-118.34566666666667,66,hdbscan
205,34.01699545454546,-118.42096969696969,66,hdbscan
429,33.99180615384615,-118.2869076923077,65,hdbscan
471,34.059615384615384,-118.2752246153846,65,hdbscan
132,34.17191230769231,-118.45822153846156,65,hdbscan
305,33.957749230769224,-118.25760461538461,65,hdbscan
159,34.03918769230769,-118.44152307692309,65,hdbscan
8,33.860753125,-118.29637968749999,64,hdbscan
477,34.051278124999996,-118.2630875,64,hdbscan
390,34.075121875,-118.3078796875,64,hdbscan
485,34.05233968253968,-118.25003650793651,63,hdbscan
119,34.157455555555565,-118.47752698412697,63,hdbscan
473,33.98951587301588,-118.28295555555553,63,hdbscan
195,34.04960634920634,-118.4371746031746,63,hdbscan
320,34.07712580645162,-118.25994193548388,62,hdbscan
448,34.032104838709685,-118.26371774193548,62,hdbscan
80,34.11928548387097,-118.22976774193546,62,hdbscan
169,34.18540322580646,-118.38538870967741,62,hdbscan
470,34.0565064516129,-118.26845161290323,62,hdbscan
311,33.97516129032259,-118.2695451612903,62,hdbscan
434,34.06090327868852,-118.30905081967214,61,hdbscan
277,33.958536065573774,-118.30766229508198,61,hdbscan
120,34.148522950819675,-118.38659508196723,61,hdbscan
44,34.22384426229508,-118.50042622950818,61,hdbscan
151,34.200762295081965,-118.48193606557376,61,hdbscan
379,33.99400983606558,-118.27399180327872,61,hdbscan
497,34.04209999999999,-118.24690000000001,60,hdbscan
431,34.05826949152543,-118.23955593220342,59,hdbscan
348,34.101511864406774,-118.34216610169491,59,hdbscan
197,34.17256206896552,-118.37770689655171,58,hdbscan
495,33.97013103448276,-118.28273103448274,58,hdbscan
160,34.03559655172414,-118.43689827586206,58,hdbscan
111,34.068394827586204,-118.20239827586208,58,hdbscan
47,34.231082758620694,-118.56274137931032,58,hdbscan
148,34.18485862068965,-118.39716896551724,58,hdbscan
345,34.10159999999999,-118.3321754385965,57,hdbscan
327,34.0786350877193,-118.27714385964913,57,hdbscan
66,33.979510714285716,-118.46553928571429,56,hdbscan
465,34.0586625,-118.2827482142857,56,hdbscan
227,34.05629285714286,-118.23219642857143,56,hdbscan
316,33.964887499999996,-118.26558214285714,56,hdbscan
250,34.000192857142856,-118.29716071428571,56,hdbscan
105,34.078700000000005,-118.21966785714287,56,hdbscan
374,34.090162500000005,-118.31190535714286,56,hdbscan
109,34.09325714285715,-118.20826607142855,56,hdbscan
361,34.02294,-118.29718363636361,55,hdbscan
23,33.94377636363636,-118.40729818181818,55,hdbscan
411,34.01307272727273,-118.25690181818186,55,hdbscan
489,33.96641090909091,-118.28594909090904,55,hdbscan
449,34.05338727272728,-118.25612727272724,55,hdbscan
468,34.05910363636364,-118.27316181818182,55,hdbscan
215,34.02516909090909,-118.37200363636363,55,hdbscan
358,34.016239999999996,-118.30368909090909,55,hdbscan
444,33.983353703703706,-118.29149629629632,54,hdbscan
445,33.973896296296296,-118.29161851851852,54,hdbscan
278,33.951455555555555,-118.3091425925926,54,hdbscan
98,34.252327777777786,-118.40726481481478,54,hdbscan
152,34.0611037037037,-118.4183981481481,54,hdbscan
48,34.23619811320755,-118.55547924528301,53,hdbscan
421,34.061781132075474,-118.29943018867925,53,hdbscan
33,33.88643962264151,-118.28877358490566,53,hdbscan
344,34.10159999999999,-118.33633584905662,53,hdbscan
353,33.93972641509434,-118.29144716981129,53,hdbscan
331,34.099894339622644,-118.32200000000002,53,hdbscan
469,34.058099999999996,-118.27117924528301,53,hdbscan
24,33.94550000000001,-118.40005576923075,52,hdbscan
